country,state,city,School Name,Site Name,Userid,Latitude,Longitude,Elevation,date,temp,Minimum Temp C,Maximum Temp C,Number Of Days Reported,Number Of Obs
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/5/12,19.8,7.2,33.1,25,25
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/6/12,21.3,9.4,36,29,29
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/8/12,25.1,13,32.4,29,29
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/9/12,20.7,6.7,33.7,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/10/12,15.7,2.9,26.9,26,26
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/11/12,6.8,-0.4,18.2,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/12/12,5.9,-2.3,16.6,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/1/13,2.4,-11.3,13.8,31,31
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/2/13,1.6,-8.5,12.4,27,27
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/3/13,4.6,-2.9,15.9,27,27
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/4/13,11.8,0,26.7,24,24
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/5/13,18.4,5.2,38.4,29,29
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/6/13,23.9,11.5,35,29,29
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/7/13,27,17.1,37.7,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/8/13,23.7,13.8,31.8,31,31
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/9/13,20.4,7.3,32.4,27,27
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/10/13,15.8,-1,30.5,24,24
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/11/13,8,-5.7,21.9,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/12/13,4.1,-7.7,19.8,29,29
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/1/14,-1.9,-15.7,13.1,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/2/14,0.2,-12.9,13.9,25,25
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/4/14,11.4,-1.4,24.2,27,27
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/5/14,18.5,7.8,32.8,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/6/14,22.8,10.3,32.9,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/7/14,24.7,15.4,33.5,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/8/14,23.5,14.6,33.1,31,31
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/9/14,21.6,10.9,35.2,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/10/14,15.9,3.8,24.8,27,27
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/11/14,8.1,-5.9,20.8,26,26
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/12/14,5.2,-4.7,18.1,31,31
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/1/15,-0.9,-14.4,12.6,25,25
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/2/15,-4.1,-17.2,7.8,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/3/15,3.2,-11.3,15.7,29,29
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/4/15,11.5,-0.1,26.1,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/5/15,19.3,5.6,29.6,25,25
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/6/15,22.3,8.9,33.4,26,26
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/7/15,25.8,16.8,36.3,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/8/15,25.7,15.3,35.7,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/9/15,22.7,11.3,35.9,26,26
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/10/15,14.3,-0.3,26.4,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/11/15,11.2,-1.2,24.2,22,22
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/6/16,22.9,11.2,32.3,24,24
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/11/16,10.7,1.4,22.7,27,27
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/12/16,4.4,-8.4,16,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/1/17,3.6,-9.8,16.1,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/3/17,4.1,-10.2,17.6,27,27
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/4/17,14.3,2,31.2,29,29
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/5/17,16.9,6.4,35.3,31,31
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/6/17,22.7,9.5,37.8,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/7/17,25.6,14.5,36.3,24,24
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/8/17,24.1,14.2,34.8,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/9/17,21.9,11.5,33.1,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/10/17,18.3,6,28.8,28,28
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/11/17,8.8,-4.7,24,29,29
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/12/17,2.9,-11.7,14.7,25,25
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/2/18,5.4,-9.6,26.3,26,26
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/3/18,4.6,-3,16.1,26,26
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/4/18,9.9,-1,26.7,30,30
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/5/18,19.9,7.8,33.6,31,31
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/6/18,22.5,9.9,34.9,27,27
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/7/18,26.3,14.3,38.4,31,31
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/8/18,27,16.6,37.7,31,31
united states,new york,new york,North Shore Hebrew Academy High School,WeatherBug Station:ATM-01,,40.7712,-73.7045,91.1,1/9/18,22.3,11.7,35.2,29,29